,index,Id,gen,type,weighted indegree,weighted outdegree,Weighted Degree
0,5,O,0.0,1,3543,2636,6179
1,34,C=O,2.0,1,814,1798,2612
2,42,C(C)=O,2.0,1,298,1489,1787
3,25,C(C(C(C(C(CO)O)O)O)O)=O,0.0,1,16,1538,1554
4,17,[Fe+3],0.0,1,431,969,1400
5,20,[Fe+2],0.0,1,902,364,1266
6,19,[H+],0.0,1,733,345,1078
7,0,C(CO)=O,1.0,1,399,638,1037
8,3,C(C(C(C(C(CO)O)O)O)O)(O)=O,1.0,1,954,14,968
9,596,C(=O)=O,3.0,1,65,896,961
10,39,C(C)(CO)=O,2.0,1,207,444,651
11,28,C(C(C)=O)=O,2.0,1,169,458,627
12,4,C(C(C(C(C(CO)O)O)O)O)O,1.0,1,586,5,591
13,31,C(C=O)=O,2.0,1,224,276,500
14,43,C(C(CO)=O)=O,2.0,1,155,303,458
15,592,C(CC=O)=O,3.0,1,38,408,446
16,330,C(CCO)=O,3.0,1,32,354,386
17,27,C(C(CO)O)=O,2.0,1,157,222,379
18,611,C(CC(C)=O)=O,3.0,1,16,363,379
19,38,C(C(C=O)O)=O,2.0,1,108,212,320
20,639,C=CC(CO)=O,3.0,1,19,300,319
21,26,C(CO)(CO)=O,2.0,1,109,209,318
22,638,C=CC(C=O)=O,3.0,1,15,293,308
23,653,C(C(C)O)=O,3.0,1,39,262,301
24,29,C(CC(CO)=O)=O,2.0,1,93,196,289
25,629,C(C)(CCO)=O,3.0,1,5,278,283
26,40,C(CC(C=O)O)=O,2.0,1,96,171,267
27,30,C(C(C(C)=O)O)=O,2.0,1,90,167,257
28,36,C(CO)(CCO)=O,2.0,1,80,163,243
29,459,C(CC(C)O)=O,3.0,1,7,222,229
30,635,C(C(C=O)=O)=O,3.0,1,40,180,220
31,608,C(CC(C=O)=O)=O,3.0,1,43,172,215
32,32,C(C)(C(CO)O)=O,2.0,1,79,136,215
33,35,C(C(CCO)=O)=O,2.0,1,74,141,215
34,640,C(C=CC=O)=O,3.0,1,12,193,205
35,599,C(C(O)=O)=O,3.0,1,38,157,195
36,587,C(C(CO)=O)(C)=O,3.0,1,20,165,185
37,9437,[OH-],0.0,1,0,169,169
38,613,C1(COC(C1)O)=O,3.0,1,4,163,167
39,1075,C1(COCC1O)=O,3.0,1,4,160,164
40,595,C(C(C)=O)(O)=O,3.0,1,7,154,161
41,610,C(C(C)=O)(C)=O,3.0,1,7,152,159
42,632,C(C(C(C)=O)=O)=O,3.0,1,15,140,155
43,591,C(CO)(C(C)O)=O,3.0,1,13,133,146
44,67,C(CO)(O)=O,2.0,1,43,101,144
45,566,C(C(C(C)O)O)=O,3.0,1,23,112,135
46,1076,C1(C(O)OCC1)=O,3.0,1,2,133,135
47,590,C(C(C(C)O)=O)=O,3.0,1,21,111,132
48,44,C(CO)(C(CO)O)=O,2.0,1,59,67,126
49,715,CCO,3.0,1,5,117,122
